# reps=10000, upper bound=0, PIVOT=random, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Normal σ_Normal       µ_TrivialBC σ_TrivialBC µ_NoTrivial σ_NoTrivial µ_OneInsertion σ_OneInsertion   µ_ThreshBC σ_ThreshBC   µ_ThreshTrivBC σ_ThreshTrivBC   µ_ThreshThenTriv σ_ThreshThenTriv       µ_TrivInThresh σ_TrivInThresh
20        6344   726      6353   707      6694   838      6717   896      6306   794      6291   778      6734   853      6676   818
24        7941   829      7958   812      8412   961      8433  1026      7938   902      7921   885      8463   978      8391   940
32       11357  1032     11387  1015     12109  1188     12132  1258     11445  1101     11423  1082     12184  1206     12081  1165
48       18831  1462     18886  1441     20219  1672     20241  1751     19137  1533     19104  1512     20341  1692     20178  1646
64       26690  1806     26771  1783     28787  2062     28807  2147     27254  1885     27210  1862     28955  2084     28733  2034
96       43737  2609     43866  2586     47432  2955     47456  3049     44898  2679     44832  2655     47695  2980     47350  2925
128      61648  3365     61830  3341     67098  3800     67124  3900     63489  3421     63400  3394     67455  3827     66989  3769
192      99745  4962    100026  4937    109035  5599    109060  5701    103129  5036    102998  5009    109579  5625    108873  5567
256     139855  6510    140239  6485    153300  7291    153325  7392    144927  6506    144751  6479    154033  7318    153085  7257
384     224502  9571    225082  9544    246942 10719    246972 10824    233318  9565    233057  9538    248050 10746    246619 10688
512     313284 12740    314068 12717    345341 14231    345371 14337    326120 12653    325773 12625    346827 14260    344915 14200
768     499471 18781    500661 18752    552018 20941    552043 21049    520913 18616    520390 18590    554252 20969    551377 20909
1024    694029 25582    695623 25562    768547 28386    768587 28495    725042 25048    724341 25024    771538 28412    767689 28350
