# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    259    57	    370    41	    325    59	    354    57	    371    57	    394    59	    418    57	    435    57	    464    55	    345    51	    320    75	    287    69	    310     7	    502     8
4   	    399    79	    568    69	    513    58	    486    79	    510    78	    529    80	    554    77	    576    78	    596    80	    526    82	    483    97	    462   128	    535    11	    869    13
5   	    560   110	    772    79	    725    82	    676    83	    670   109	    691   111	    713   111	    736   110	    757   112	    751   124	    671   137	    704   192	    825    16	   1325    15
6   	    727   134	   1000   108	    947   111	    887    97	    856   106	    858   134	    881   136	    903   135	    925   135	    984   163	    861   166	    984   262	   1171    22	   1866    17
7   	    919   162	   1220   118	   1153   114	   1116   122	   1072   121	   1058   131	   1074   162	   1096   162	   1118   162	   1253   203	   1078   195	   1330   330	   1576    29	   2495    21
8   	   1122   204	   1459   153	   1384   139	   1360   159	   1302   145	   1266   145	   1272   165	   1298   204	   1320   203	   1536   259	   1304   238	   1718   412	   2043    37	   3213    23
9   	   1346   229	   1700   162	   1630   169	   1573   158	   1549   176	   1505   162	   1499   173	   1497   193	   1544   229	   1847   300	   1553   269	   2153   485	   2567    43	   4015    24
10  	   1586   270	   1959   193	   1855   178	   1799   173	   1826   210	   1756   200	   1725   196	   1717   194	   1747   231	   2189   364	   1813   314	   2693   585	   3149    53	   4908    26
11  	   1847   302	   2221   210	   2106   202	   2061   203	   2036   208	   2034   226	   1979   216	   1966   213	   1977   233	   2554   410	   2103   347	   3222   668	   3794    59	   5889    28
12  	   2108   353	   2492   249	   2372   240	   2323   246	   2265   230	   2319   275	   2253   253	   2212   246	   2224   241	   2925   484	   2383   407	   3845   774	   4493    72	   6957    31
13  	   2406   386	   2759   252	   2617   245	   2555   247	   2532   247	   2528   258	   2538   285	   2491   278	   2483   273	   3348   535	   2704   441	   4530   867	   5255    81	   8112    35
14  	   2706   412	   3063   287	   2872   255	   2816   260	   2796   284	   2780   274	   2843   317	   2782   295	   2749   291	   3778   580	   3026   469	   5314   939	   6073    88	   9356    37
15  	   3055   446	   3364   301	   3162   299	   3086   289	   3096   323	   3046   301	   3079   327	   3095   342	   3053   326	   4276   628	   3397   499	   6145  1029	   6958    97	  10688    35
16  	   3718   491	   3968   364	   3731   328	   3676   336	   3618   322	   3640   326	   3646   327	   3760   374	   3695   368	   5209   703	   4131   584	   7453  1012	   7963   107	  12060    39
17  	   4116   571	   4297   403	   4048   381	   3956   374	   3918   334	   3964   388	   3930   329	   4017   400	   4074   423	   5778   819	   4551   667	   8389  1128	   8971   125	  13563    42
18  	   4567   586	   4697   437	   4400   393	   4284   390	   4230   371	   4321   430	   4278   379	   4316   404	   4451   443	   6430   845	   5030   686	   9473  1217	  10043   130	  15154    45
19  	   4986   633	   5030   446	   4707   400	   4599   418	   4584   417	   4602   424	   4583   420	   4606   413	   4714   459	   7033   914	   5471   737	  10560  1301	  11169   142	  16835    43
20  	   5465   694	   5421   486	   5030   429	   4956   455	   4966   466	   4879   430	   4966   456	   4942   433	   4991   441	   7726  1007	   5984   807	  11833  1340	  12356   156	  18601    46
21  	   5952   712	   5801   493	   5406   491	   5265   453	   5235   447	   5204   454	   5364   530	   5304   471	   5342   475	   8431  1039	   6498   816	  12928  1411	  13611   167	  20455    50
22  	   6450   808	   6214   575	   5735   485	   5576   493	   5521   485	   5534   498	   5616   511	   5664   521	   5653   500	   9152  1177	   7028   920	  14264  1577	  14919   185	  22403    51
23  	   6930   840	   6596   573	   6078   515	   5930   514	   5886   520	   5928   548	   5928   528	   6023   551	   6006   521	   9848  1230	   7515   947	  15589  1665	  16274   192	  24432    52
24  	   7770   892	   7299   615	   6726   577	   6580   586	   6513   565	   6559   582	   6522   562	   6738   631	   6653   566	  11064  1312	   8435  1026	  17369  1659	  17772   204	  26508    57
