# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    368     3	    385     4	    433     4	    463     2	    481     4	    497     4	    527     2	    545     4	    575     1	    433     4	    481     4	    385     4	    319     2	    495     1
4   	    607     1	    738     5	    545     5	    689     5	    706     5	    738     5	    754     5	    783     1	    802     6	    738     5	    802     5	    672     0	    561     4	    847     1
5   	    879     2	    866     5	    834     5	    754     5	    991     2	   1010     6	   1027     6	   1055     1	   1074     6	   1103     2	   1186     6	   1027     6	    866     5	   1283     7
6   	   1199     2	   1332     7	   1280     1	    995     6	   1010     6	   1332     6	   1347     7	   1375     2	   1395     6	   1524     7	   1635     7	   1476     6	   1235     6	   1808     3
7   	   1556     8	   1443     6	   1315     7	   1376     2	   1203     6	   1312     2	   1716     7	   1733     8	   1760     2	   2021     8	   2160     3	   1989     8	   1684     7	   2406     9
8   	   1973     7	   2016     3	   1652     7	   1904     2	   1540     7	   1460     7	   1652     7	   2149     7	   2165     8	   2582     9	   2741     7	   2583     9	   2192     4	   3094     7
9   	   2421     7	   2101     7	   2245     7	   1861     7	   2005     7	   1749     7	   1760     2	   2037     7	   2615     9	   3217     4	   3392     4	   3257    10	   2759    10	   3865     8
10  	   2919     8	   2784     4	   2224     4	   2101     7	   2615     9	   2166     9	   2004     7	   2101     7	   2464     4	   3912     8	   4105    10	   4008     8	   3401    10	   4714     7
11  	   3457     5	   2854     7	   2598     7	   2565     7	   2487     9	   2721     4	   2374     9	   2294     9	   2486     9	   4668    11	   4889     7	   4834     6	   4105    10	   5646    12
12  	   4041     7	   3641    10	   3345     5	   3288    10	   2640     4	   3425     5	   2886     7	   2630     7	   2640     3	   5498     7	   5737     8	   5739     7	   4876    11	   6661     8
13  	   4667    11	   3687     8	   3256    10	   3137     4	   3016     9	   3206     7	   3521     4	   3095     8	   2929     4	   6387     7	   6651     8	   6721    11	   5716     7	   7763    13
14  	   5341    11	   4588    11	   3673    10	   3383     8	   3610    10	   3271     8	   4315    10	   3687     8	   3345     5	   7345    11	   7632    12	   7778    12	   6621     8	   8943     9
15  	   6059     7	   4618     7	   4578     6	   3930    10	   4474     7	   3560     8	   4009     8	   4412    11	   3898    10	   8372    12	   8678    10	   8913    10	   7587    14	  10211    11
16  	   6818    12	   5627     7	   4428    11	   4858     7	   4185     7	   4059    11	   3986     6	   5293    11	   4578     6	   9461    12	   9791    10	  10123    12	   8623     9	  11556    11
17  	   7623    10	   5627     7	   4890     7	   4588    11	   4297     8	   4793     7	   4185     7	   4898     6	   5395     7	  10620    12	  10970    12	  11412    11	   9728    10	  12988    13
18  	   8470    14	   6753    12	   5947     8	   4834     6	   4714     7	   5780     7	   4605    11	   4794     7	   6368    11	  11844    12	  12215    13	  12779    13	  10893    12	  14500    14
19  	   9366    12	   6733     8	   5726    11	   5470    11	   5438    11	   5363     7	   5242     7	   4899     7	   5883     8	  13132    14	  13524    12	  14223    14	  12127    13	  16098    14
20  	  10300    12	   7967     9	   6236     8	   6597     9	   6544    12	   5342    11	   6101     8	   5230    11	   5684     7	  14489    14	  14902    13	  15745    15	  13431    14	  17770    15
21  	  11280    15	   7918     9	   7447    10	   6223    11	   6101     8	   5627     7	   7224    11	   5780     8	   5707     7	  15910    14	  16344    14	  17343    15	  14795    16	  19533    16
22  	  12304    13	   9264    10	   7158    10	   6464    11	   6164     8	   6224    11	   6673    12	   6556     8	   5948     8	  17396    15	  17856    14	  19016    17	  16231    15	  21376    16
23  	  13373    13	   9200    10	   7710     9	   7190    10	   6629     9	   7125     8	   6517     9	   7543    10	   6412     8	  18951    16	  19429    14	  20767    17	  17727    15	  23305    18
24  	  14488    14	  10653    12	   9077    13	   8517    12	   7490    12	   8404    12	   6673    12	   8800    11	   7095    10	  20568    16	  21071    15	  22599    17	  19292    16	  25308    17
