# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    192     3	    319     1	    256     3	    287     1	    305     4	    321     4	    351     1	    369     4	    399     1	    287     1	    240     3	    208     3	    305     4	    513     5
4   	    273     3	    465     4	    417     4	    353     4	    385     4	    401     4	    431     1	    449     4	    465     4	    401     4	    337     4	    256     3	    527     2	    882     6
5   	    351     2	    625     5	    575     1	    513     5	    463     1	    481     4	    497     4	    527     2	    545     5	    527     2	    433     4	    319     2	    802     5	   1347     7
6   	    431     2	    783     2	    722     5	    671     2	    610     5	    561     4	    577     5	    607     1	    626     5	    641     5	    529     4	    369     4	   1136     2	   1904     3
7   	    497     5	    930     6	    880     1	    818     6	    770     5	    706     5	    658     5	    674     5	    703     1	    770     5	    639     2	    431     2	   1520     3	   2545     4
8   	    577     4	   1090     6	   1027     6	    978     6	    927     2	    866     5	    815     2	    754     5	    783     2	    882     6	    738     5	    481     4	   1957     8	   3272     8
9   	    658     5	   1235     7	   1187     6	   1136     2	   1075     7	   1023     1	    963     6	    914     5	    850     6	   1010     5	    834     5	    529     5	   2454     8	   4089     8
10  	    738     5	   1395     6	   1343     2	   1283     7	   1231     2	   1171     7	   1122     6	   1059     7	   1010     6	   1136     2	    930     6	    593     5	   3000    10	   4989    12
11  	    816     1	   1552     2	   1492     8	   1443     6	   1380     7	   1331     6	   1280     2	   1219     6	   1168     2	   1251     7	   1027     6	    642     5	   3609    11	   5979     9
12  	    882     6	   1700     8	   1652     7	   1588     8	   1540     7	   1488     2	   1427     7	   1375     2	   1315     7	   1375     2	   1135     2	    703     2	   4274     7	   7059    14
13  	    962     6	   1860     7	   1808     2	   1748     7	   1696     3	   1636     8	   1584     3	   1524     7	   1476     6	   1491     7	   1232     2	    754     5	   4989    11	   8228    13
14  	   1042     6	   2016     3	   1957     8	   1904     3	   1845     8	   1796     7	   1732     8	   1684     7	   1632     3	   1619     6	   1331     6	    815     2	   5759    12	   9483    13
15  	   1123     6	   2166     9	   2112     3	   2053     8	   2004     7	   1942     9	   1893     7	   1840     3	   1781     8	   1732     7	   1428     7	    866     5	   6589     9	  10830    14
16  	   1199     2	   2326     7	   2262     9	   2213     7	   2160     3	   2101     7	   2048     3	   1989     8	   1936     3	   1860     7	   1524     7	    927     2	   7470     9	  12262    13
17  	   1280     2	   2471     9	   2422     7	   2368     3	   2310     9	   2256     4	   2198     9	   2149     7	   2085     8	   1984     3	   1632     3	    978     6	   8405    13	  13785    15
18  	   1348     7	   2630     8	   2576     3	   2519     9	   2464     4	   2407     9	   2358     7	   2294     9	   2245     7	   2101     7	   1728     3	   1027     6	   9398    13	  15392    16
19  	   1427     7	   2785     4	   2727     9	   2678     7	   2615     9	   2566     7	   2512     4	   2453     7	   2400     3	   2224     4	   1828     7	   1091     6	  10445    14	  17088    19
20  	   1507     6	   2936    10	   2887     8	   2824    10	   2774     7	   2720     4	   2663    10	   2608     4	   2551    10	   2341     9	   1924     7	   1139     6	  11546    13	  18876    18
21  	   1584     3	   3095     8	   3041     5	   2983     8	   2929     4	   2872     9	   2816     4	   2760     9	   2710     8	   2464     4	   2021     9	   1200     2	  12703    17	  20747    18
22  	   1664     3	   3249     6	   3192    10	   3137     5	   3080    10	   3031     8	   2968    10	   2918     8	   2864     4	   2582     9	   2117     8	   1251     7	  13914    17	  22708    21
23  	   1733     8	   3401    10	   3345     5	   3289    10	   3239     8	   3177    11	   3127     8	   3073     4	   3015    10	   2710     7	   2224     4	   1312     2	  15184    15	  24759    19
24  	   1813     8	   3560     8	   3497    10	   3447     8	   3393     5	   3335     8	   3281     5	   3225    10	   3169     5	   2823    10	   2325     7	   1363     6	  16504    17	  26897    21
