# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    283    56	    393    44	    350    58	    378    56	    395    56	    418    56	    443    56	    460    56	    488    55	    365    50	    352    79	    313    64	    312     8	    499     7
4   	    441    81	    614    76	    554    62	    528    80	    552    80	    571    82	    595    78	    617    81	    637    82	    571    84	    536   111	    523   113	    539    12	    861    13
5   	    625   104	    841    85	    791    86	    743    81	    735   104	    756   105	    778   105	    801   104	    822   105	    822   119	    748   143	    796   162	    832    16	   1312    14
6   	    824   137	   1102   116	   1040   116	    982   100	    952   104	    957   137	    978   138	   1000   137	   1022   137	   1099   168	    978   188	   1116   221	   1184    22	   1848    17
7   	   1052   165	   1349   128	   1285   122	   1245   127	   1197   120	   1185   128	   1206   165	   1228   165	   1250   165	   1414   210	   1233   225	   1513   275	   1597    31	   2468    21
8   	   1304   204	   1637   161	   1561   148	   1536   162	   1472   152	   1441   140	   1441   165	   1481   204	   1503   204	   1767   266	   1518   274	   1981   333	   2071    38	   3177    25
9   	   1551   223	   1909   168	   1841   178	   1786   159	   1761   182	   1718   162	   1700   163	   1704   187	   1749   224	   2116   299	   1787   292	   2465   395	   2601    42	   3975    24
10  	   1844   268	   2215   208	   2118   189	   2061   180	   2078   216	   2017   194	   1978   189	   1968   199	   2009   219	   2531   367	   2103   348	   3047   460	   3197    54	   4858    27
11  	   2163   299	   2523   230	   2414   212	   2378   214	   2337   203	   2338   226	   2287   216	   2283   213	   2297   223	   2979   415	   2450   386	   3677   535	   3850    62	   5827    33
12  	   2494   329	   2852   248	   2727   242	   2695   245	   2639   224	   2673   262	   2628   248	   2594   231	   2594   238	   3451   460	   2801   419	   4375   574	   4567    71	   6885    35
13  	   2853   384	   3199   285	   3035   268	   2992   256	   2956   256	   2964   273	   2964   286	   2936   269	   2914   263	   3963   541	   3188   479	   5133   683	   5344    81	   8031    37
14  	   3240   421	   3563   308	   3363   280	   3307   280	   3299   290	   3266   269	   3357   327	   3296   302	   3261   294	   4517   598	   3597   530	   5990   736	   6180    91	   9261    38
15  	   3637   468	   3904   337	   3732   323	   3638   317	   3638   329	   3589   302	   3640   335	   3666   353	   3613   326	   5087   668	   4014   577	   6850   804	   7078   104	  10583    43
16  	   4036   507	   4272   359	   4044   339	   3995   356	   3954   326	   3944   324	   3946   336	   4080   398	   4014   381	   5659   731	   4439   607	   7801   882	   8029   110	  11991    47
17  	   4494   540	   4663   376	   4403   356	   4319   366	   4277   363	   4324   383	   4301   356	   4375   393	   4420   419	   6319   783	   4919   653	   8844   939	   9052   119	  13487    46
18  	   4950   594	   5085   427	   4781   411	   4664   372	   4648   375	   4716   416	   4637   389	   4688   384	   4843   469	   6980   857	   5385   709	   9885  1066	  10128   133	  15068    49
19  	   5419   645	   5474   457	   5119   440	   5026   410	   5002   404	   5012   423	   5035   412	   5028   400	   5141   455	   7657   939	   5867   758	  11044  1136	  11259   146	  16740    54
20  	   5932   727	   5889   510	   5516   466	   5427   476	   5429   487	   5353   431	   5411   473	   5392   449	   5479   479	   8399  1058	   6392   840	  12207  1262	  12460   162	  18500    54
21  	   6506   735	   6359   517	   5952   492	   5792   469	   5755   458	   5756   464	   5858   538	   5809   476	   5864   489	   9232  1071	   6994   853	  13572  1235	  13731   168	  20345    56
22  	   6975   778	   6758   563	   6294   497	   6138   494	   6102   493	   6129   497	   6211   526	   6227   546	   6241   515	   9910  1136	   7467   889	  14809  1328	  15031   178	  22283    57
23  	   7623   882	   7237   594	   6724   527	   6556   548	   6524   540	   6544   549	   6555   543	   6690   584	   6639   532	  10854  1293	   8150  1010	  16279  1477	  16428   206	  24297    62
24  	   8243   891	   7732   621	   7165   601	   7018   601	   6926   562	   6974   612	   6969   562	   7157   648	   7090   589	  11756  1310	   8789  1019	  17817  1488	  17875   208	  26406    66
