# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    363    61	    464     3	    428    60	    444    60	    475    61	    492    60	    513    67	    539    61	    557    60	    375    54	    395    40	    349    66	    346     7	    588     8
4   	    530   110	    758    95	    665    92	    615   106	    639   108	    661   109	    682   108	    706   111	    725   110	    583   102	    598    91	    559   144	    607    10	   1029    12
5   	    705   146	   1007   128	    918   125	    855   122	    815   147	    837   146	    861   147	    881   146	    903   146	    796   154	    810   128	    796   225	    940    18	   1586    13
6   	    886   191	   1267   176	   1197   181	   1104   157	   1052   156	   1020   191	   1043   191	   1063   192	   1086   193	   1018   209	   1034   178	   1074   322	   1337    25	   2255    13
7   	   1094   233	   1547   209	   1465   202	   1399   220	   1324   194	   1270   193	   1248   233	   1271   233	   1293   232	   1267   266	   1282   226	   1418   431	   1805    32	   3037    13
8   	   1250   270	   1797   252	   1701   244	   1650   255	   1578   238	   1509   232	   1460   241	   1427   271	   1448   270	   1461   316	   1482   272	   1714   564	   2334    39	   3927    14
9   	   1598   326	   2195   285	   2105   289	   2018   265	   1972   280	   1905   268	   1851   264	   1807   280	   1796   325	   1885   395	   1878   333	   2348   637	   2955    48	   4908    20
10  	   1835   370	   2513   338	   2390   320	   2331   318	   2292   332	   2206   317	   2137   299	   2109   308	   2073   332	   2176   455	   2161   385	   2832   770	   3629    57	   6022    20
11  	   2018   397	   2768   359	   2665   334	   2598   352	   2551   350	   2490   356	   2416   334	   2371   345	   2319   334	   2401   493	   2390   421	   3306   928	   4359    63	   7241    21
12  	   2242   454	   3081   424	   2958   412	   2910   407	   2829   395	   2810   421	   2735   396	   2668   399	   2599   400	   2677   568	   2662   487	   3864  1129	   5161    71	   8574    18
13  	   2476   500	   3385   450	   3266   425	   3188   429	   3119   437	   3111   436	   3045   450	   2966   443	   2905   436	   2965   627	   2945   537	   4483  1292	   6033    82	  10015    19
14  	   2696   548	   3675   501	   3537   474	   3493   465	   3437   475	   3363   475	   3348   519	   3294   496	   3213   487	   3239   692	   3217   597	   5127  1504	   6968    92	  11570    19
15  	   2963   609	   4003   532	   3884   530	   3799   519	   3773   531	   3705   527	   3651   533	   3615   551	   3550   540	   3570   774	   3531   663	   5814  1694	   7981   101	  13232    21
16  	   3450   678	   4507   590	   4340   558	   4278   550	   4235   547	   4176   565	   4135   550	   4146   596	   4064   589	   4187   878	   4097   747	   6994  1810	   9093   116	  14986    26
17  	   3737   762	   4860   661	   4672   606	   4586   605	   4536   584	   4534   634	   4472   587	   4422   634	   4418   636	   4547   989	   4443   838	   7962  2018	  10232   127	  16866    22
18  	   4005   779	   5208   696	   4999   645	   4923   620	   4874   616	   4860   662	   4813   639	   4772   651	   4787   715	   4880  1014	   4761   864	   8716  2217	  11446   131	  18862    25
19  	   4226   821	   5490   717	   5287   658	   5207   661	   5194   661	   5133   679	   5085   678	   5062   687	   5052   718	   5158  1076	   5039   923	   9566  2436	  12717   145	  20965    26
20  	   4547   915	   5878   798	   5638   721	   5579   718	   5545   744	   5487   720	   5488   750	   5421   700	   5394   735	   5560  1202	   5420  1028	  10692  2743	  14062   159	  23177    24
21  	   4770   933	   6147   805	   5963   782	   5866   753	   5808   762	   5785   769	   5789   780	   5734   775	   5685   780	   5837  1219	   5695  1047	  11624  3116	  15460   161	  25503    25
22  	   5019   998	   6478   867	   6256   789	   6162   804	   6137   776	   6097   795	   6103   833	   6062   838	   6004   803	   6144  1308	   5992  1121	  12632  3391	  16933   174	  27938    24
23  	   5291  1064	   6811   941	   6589   843	   6496   875	   6450   848	   6433   864	   6406   847	   6413   899	   6363   861	   6485  1400	   6321  1208	  13656  3673	  18473   187	  30486    28
24  	   5535  1105	   7107   936	   6899   890	   6793   873	   6774   860	   6760   886	   6696   901	   6711   937	   6673   896	   6792  1456	   6624  1253	  14870  3956	  20076   197	  33139    27
