# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=16
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    352    67	    478    55	    417    67	    435    68	    462    66	    481    67	    505    68	    528    67	    548    68	    371    55	    389    48	    347    74	    344     7	    587    12
4   	    545    96	    769    92	    678    77	    632    97	    654    95	    676    97	    699    95	    721    96	    743    97	    600    92	    610    78	    583   122	    609    10	   1026    11
5   	    775   124	   1070   110	    982   104	    913    96	    885   125	    907   125	    929   124	    951   124	    974   125	    872   134	    874   111	    899   175	    945    16	   1573    15
6   	   1028   166	   1405   149	   1304   143	   1218   124	   1167   126	   1160   167	   1182   166	   1204   166	   1226   167	   1177   191	   1165   154	   1268   244	   1352    23	   2231    17
7   	   1312   200	   1736   167	   1626   153	   1557   156	   1484   147	   1456   156	   1467   200	   1489   200	   1511   200	   1528   238	   1496   192	   1726   301	   1832    29	   2995    21
8   	   1633   248	   2119   210	   1988   185	   1932   199	   1840   185	   1789   170	   1773   201	   1810   248	   1832   248	   1927   303	   1865   245	   2273   368	   2384    37	   3867    25
9   	   1947   273	   2485   222	   2352   222	   2258   196	   2209   223	   2145   200	   2110   201	   2102   231	   2145   273	   2320   343	   2232   279	   2839   439	   3001    43	   4853    24
10  	   2324   325	   2902   273	   2728   235	   2629   221	   2622   261	   2536   234	   2475   224	   2449   241	   2487   266	   2800   416	   2672   336	   3523   508	   3699    53	   5942    28
11  	   2719   366	   3316   307	   3113   268	   3036   266	   2959   252	   2941   277	   2869   263	   2852   260	   2854   272	   3303   476	   3134   383	   4250   594	   4464    62	   7144    30
12  	   3146   405	   3767   327	   3531   311	   3451   303	   3357   277	   3379   324	   3308   306	   3254   285	   3241   293	   3848   531	   3629   432	   5067   651	   5303    71	   8454    36
13  	   3597   473	   4238   383	   3948   345	   3846   322	   3770   314	   3761   337	   3739   352	   3691   332	   3653   324	   4432   624	   4157   507	   5945   762	   6213    81	   9873    39
14  	   4088   520	   4736   416	   4386   359	   4267   354	   4215   358	   4156   333	   4244   403	   4157   372	   4098   360	   5071   690	   4730   559	   6947   821	   7195    91	  11399    40
15  	   4596   575	   5211   455	   4883   419	   4705   392	   4667   405	   4581   376	   4621   409	   4637   434	   4558   401	   5733   767	   5328   622	   7968   892	   8249   102	  13041    42
16  	   5100   626	   5716   483	   5305   435	   5173   450	   5078   406	   5042   401	   5024   417	   5165   488	   5068   470	   6391   844	   5919   692	   9073   990	   9367   109	  14789    47
17  	   5683   670	   6263   509	   5791   462	   5610   461	   5514   449	   5540   475	   5486   444	   5556   490	   5594   522	   7157   908	   6603   742	  10291  1059	  10568   120	  16645    47
18  	   6267   731	   6843   570	   6306   526	   6072   470	   6006   467	   6051   512	   5933   484	   5969   473	   6142   575	   7930   985	   7296   807	  11520  1194	  11834   132	  18611    51
19  	   6871   801	   7397   615	   6780   570	   6565   520	   6482   503	   6453   528	   6456   509	   6423   494	   6546   561	   8725  1087	   8010   887	  12897  1269	  13170   146	  20688    54
20  	   7517   902	   7976   700	   7311   602	   7095   602	   7041   614	   6903   536	   6943   581	   6895   555	   6981   584	   9580  1226	   8772  1005	  14253  1424	  14581   162	  22876    53
21  	   8242   915	   8633   708	   7902   641	   7597   596	   7482   579	   7436   581	   7522   667	   7442   589	   7491   602	  10548  1245	   9633  1022	  15841  1393	  16074   168	  25169    59
22  	   8842   963	   9195   756	   8383   641	   8063   623	   7948   615	   7930   616	   7994   654	   7988   675	   7986   634	  11342  1314	  10342  1082	  17301  1490	  17608   178	  27581    63
23  	   9667  1095	   9883   819	   8969   686	   8636   698	   8511   668	   8480   687	   8453   676	   8587   728	   8501   656	  12443  1496	  11307  1229	  19024  1662	  19252   204	  30088    64
24  	  10461  1109	  10579   845	   9583   783	   9255   758	   9055   707	   9046   753	   9003   697	   9201   803	   9097   727	  13506  1521	  12240  1250	  20841  1678	  20956   209	  32713    70
