# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_1 σ_1	µ_2 σ_2	µ_3 σ_3	µ_4 σ_4	µ_5 σ_5	µ_6 σ_6	µ_7 σ_7	µ_8 σ_8	µ_9 σ_9	µ_1NoSentinel σ_1NoSentinel	µ_1Implicit σ_1Implicit	µ_BubbleAdapt σ_BubbleAdapt	µ_BubbleNonAdapt σ_BubbleNonAdapt	µ_Selection σ_Selection
3   	    264    60	    396    44	    330    63	    358    58	    377    60	    394    63	    423    57	    441    60	    466    57	    304    53	    318    50	    268    71	    309     8	    569     9
4   	    415    89	    638    67	    555    56	    507    85	    528    89	    549    85	    573    87	    592    89	    617    84	    481    85	    505    76	    443   144	    573    13	   1013    10
5   	    581   116	    873    80	    790    77	    724    84	    690   120	    713   116	    735   119	    758   117	    779   116	    675   127	    705   112	    661   228	    901    16	   1571    13
6   	    757   145	   1128   107	   1039   104	    962    96	    915   113	    889   145	    910   146	    933   145	    955   145	    888   166	    920   148	    923   309	   1298    20	   2238    14
7   	    955   178	   1390   122	   1285   110	   1220   125	   1148   114	   1114   138	   1110   178	   1131   178	   1153   179	   1130   212	   1161   188	   1261   401	   1762    28	   3016    17
8   	   1162   209	   1667   149	   1544   130	   1491   154	   1402   145	   1355   149	   1327   163	   1338   209	   1360   209	   1387   256	   1415   225	   1651   493	   2297    33	   3904    17
9   	   1383   245	   1938   165	   1813   155	   1723   148	   1674   177	   1604   159	   1574   174	   1548   202	   1582   245	   1664   310	   1686   269	   2094   605	   2900    38	   4898    18
10  	   1583   293	   2208   202	   2054   167	   1968   167	   1938   209	   1858   197	   1812   191	   1782   207	   1783   237	   1917   373	   1936   325	   2496   720	   3570    46	   6010    21
11  	   1871   331	   2529   222	   2349   187	   2255   194	   2195   201	   2156   234	   2086   223	   2042   228	   2036   246	   2281   428	   2282   371	   3119   813	   4316    55	   7224    23
12  	   2098   353	   2812   240	   2620   211	   2527   222	   2454   222	   2434   268	   2358   255	   2301   254	   2279   251	   2571   459	   2565   399	   3725   931	   5119    61	   8553    21
13  	   2407   422	   3140   279	   2911   221	   2794   234	   2724   240	   2692   266	   2674   296	   2590   283	   2553   286	   2965   555	   2936   480	   4363  1054	   6004    73	   9988    24
14  	   2703   460	   3468   304	   3212   250	   3069   233	   3007   264	   2959   267	   2983   333	   2903   320	   2842   305	   3347   614	   3296   527	   5108  1174	   6951    81	  11538    23
15  	   3002   510	   3793   332	   3509   285	   3359   259	   3301   310	   3231   288	   3231   339	   3221   356	   3133   357	   3733   681	   3661   586	   5860  1289	   7968    91	  13195    27
16  	   3311   535	   4131   355	   3795   282	   3661   301	   3578   302	   3506   317	   3488   332	   3539   418	   3442   389	   4134   719	   4038   619	   6758  1385	   9052    95	  14965    28
17  	   3629   590	   4467   382	   4105   306	   3942   299	   3835   308	   3823   354	   3740   367	   3760   386	   3768   427	   4546   797	   4426   686	   7538  1571	  10203   102	  16842    27
18  	   4029   659	   4851   425	   4456   352	   4246   330	   4132   335	   4142   407	   4037   372	   4038   416	   4135   469	   5071   895	   4910   768	   8581  1618	  11436   116	  18830    29
19  	   4353   714	   5194   458	   4734   364	   4562   373	   4426   368	   4370   391	   4332   415	   4327   423	   4371   480	   5493   970	   5305   834	   9471  1778	  12724   128	  20930    29
20  	   4753   761	   5585   487	   5068   385	   4869   391	   4778   414	   4666   417	   4667   457	   4599   450	   4594   467	   6018  1036	   5789   890	  10619  1910	  14086   136	  23140    30
21  	   5087   797	   5928   509	   5390   402	   5148   398	   5025   417	   4935   417	   4973   504	   4878   473	   4876   480	   6456  1088	   6198   935	  11568  2082	  15510   145	  25457    30
22  	   5465   852	   6304   541	   5709   420	   5453   394	   5295   407	   5228   435	   5228   502	   5226   511	   5163   524	   6950  1165	   6656  1001	  12765  2227	  17002   156	  27887    32
23  	   5924   924	   6721   588	   6073   449	   5773   433	   5614   435	   5553   461	   5543   507	   5517   545	   5456   534	   7558  1267	   7210  1088	  13974  2364	  18579   173	  30426    34
24  	   6318   996	   7114   639	   6412   500	   6107   486	   5940   479	   5898   530	   5779   520	   5854   591	   5762   567	   8083  1368	   7692  1174	  15240  2566	  20212   183	  33079    36
