# reps=10000, upper bound=0, PIVOT=median_of_three, TYPE=UINT32, BLOCK_SIZE=2048, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1
n       µ_Quick σ_Quick   µ_Merge σ_Merge   µ_MergeWriteBack σ_MergeWriteBack       µ_MergeHalfSpace σ_MergeHalfSpace   µ_Heap σ_Heap   µ_Shell σ_Shell
20        5406   418       6176   462       6198   462       4257   328        8324   305        5799   355
24        6798   466       7832   590       7854   590       7389   581       14904   402        7492   565
32        9737   558      11523   853      11545   852      10748   796       21560   443       10929   846
48       16015   731      19590   915      23866   915      19866   852       36560   569       19387  1401
64       22689   886      27862  1191      33559  1192      27651  1145       52080   629       29214  1859
96       36879  1203      50582  1473      50702  1473      47638  1460       86617   805       49171  1839
128      51926  1522      68096  1696      68219  1696      66785  1620      122238   866       70991  2601
192      83650  2121     118980  2083     136045  2083     112289  2016      200517  1102      120215  4404
256     117002  2728     159683  2406     182387  2406     156185  2309      280878  1268      176796  5534
384     187133  3982     272444  2967     272566  2968     258518  2770      455626  1581      311161  8867
512     260519  5208     365205  3422     365328  3422     358019  3352      634615  1847      474562 12502
768     414327  7799     613147  4166     680978  4165     585547  4099     1020877  2185      880032 24844
1024    574497 10247        nan   nan        nan   nan     806592  4489     1415622  2454     1386617 35594
